,Unnamed: 0,Symbol,Company,Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
1,1,NLST,Netlist Inc,"May 15, 2018, 1 PMEST",-0.03,-0.05,-66.67
2,2,NLST,Netlist Inc,"Mar 27, 2018, 1 PMEST",-0.04,-0.04,-
3,3,NLST,Netlist Inc,"May 18, 2017, 6 AMEST",-0.06,-0.05,16.67
4,4,NLST,Netlist Inc,"Mar 30, 2017, 12 PMEST",-0.07,-0.06,14.29
0,0,LRCX,Lam Research Corp,"Oct 15, 2018, 4 PMEST",3.21,-,-
1,1,LRCX,Lam Research Corp,"Jul 26, 2018, 12 PMEST",4.94,5.31,7.49
2,2,LRCX,Lam Research Corp,"Apr 17, 2018, 4 PMEST",4.38,4.79,9.36
3,3,LRCX,Lam Research Corp,"Jan 24, 2018, 4 PMEST",3.68,4.34,17.93
4,4,LRCX,Lam Research Corp,"Oct 17, 2017, 4 PMEST",3.28,3.46,5.49
5,5,LRCX,Lam Research Corp,"Jul 26, 2017, 4 PMEST",3.03,3.11,2.64
6,6,LRCX,Lam Research Corp,"Apr 18, 2017, 4 PMEST",2.55,2.8,9.8
